"Time of Day","Total Incidents","Assault Offenses","Homicide Offenses","Human Trafficking Offenses","Kidnapping Abduction",Sex Offenses
Total,"3,428,736","3,162,251","17,322","2,584","44,652","201,927"
Total A.M. Hours,"1,293,594","1,180,561","7,357","1,115","17,561","87,000"
Midnight-12:59 a.m.,"260,337","228,650","1,644",399,"3,477","26,167"
1 a.m.-1:59 a.m.,"116,994","108,916",905,48,"1,696","5,429"
2 a.m.-2:59 a.m.,"97,112","89,885",798,32,"1,500","4,897"
3 a.m.-3:59 a.m.,"73,866","67,992",584,20,"1,228","4,042"
4 a.m.-4:59 a.m.,"55,013","50,578",487,17,948,"2,983"
5 a.m.-5:59 a.m.,"45,326","41,908",372,21,727,"2,298"
6 a.m.-6:59 a.m.,"51,277","47,519",375,35,762,"2,586"
7 a.m.-7:59 a.m.,"75,368","70,072",386,50,"1,013","3,847"
8 a.m.-8:59 a.m.,"115,586","104,889",404,123,"1,494","8,676"
9 a.m.-9:59 a.m.,"120,551","110,721",393,123,"1,401","7,913"
 10 a.m.-10:59 a.m.,"136,406","125,187",496,129,"1,634","8,960"
 11 a.m.-11:59 a.m.,"145,758","134,244",513,118,"1,681","9,202"
Total P.M. Hours,"2,104,447","1,957,130","9,787","1,435","26,723","109,372"
Noon-12:59 p.m.,"173,450","156,947",586,206,"1,996","13,715"
1 p.m.-1:59 p.m.,"153,231","141,057",545,123,"1,786","9,720"
2 p.m.-2:59 p.m.,"164,677","151,453",648,127,"1,886","10,563"
3 p.m.-3:59 p.m.,"182,353","168,483",648,143,"2,212","10,867"
4 p.m.-4:59 p.m.,"181,361","168,307",715,148,"2,235","9,956"
5 p.m.-5:59 p.m.,"182,478","170,521",749,134,"2,368","8,706"
6 p.m.-6:59 p.m.,"186,878","174,978",815,111,"2,644","8,330"
7 p.m.-7:59 p.m.,"186,274","175,398",863,104,"2,338","7,571"
8 p.m.-8:59 p.m.,"188,751","177,105",982,98,"2,399","8,167"
9 p.m.-9:59 p.m.,"182,014","170,995","1,046",95,"2,323","7,555"
 10 p.m.-10:59 p.m.,"171,511","160,648","1,087",75,"2,304","7,397"
 11 p.m.-11:59 p.m.,"151,469","141,238","1,103",71,"2,232","6,825"
Unknown Time of Day,"30,695","24,560",178,34,368,"5,555"

