"Location","Total Offenses","Arson","Bribery","Burglary Breaking and Entering","Counterfeiting Forgery","Destruction Damage Vandalism",Embezzlement,"Extortion Blackmail","Fraud Offenses","Larceny Theft Offenses","Motor Vehicle Theft",Robbery,"Stolen Property Offenses"
Total,"8,567,952","32,301",807,"682,098","153,843","1,653,806","35,153","27,031","911,820","3,863,371","892,390","179,092","136,240"
Abandoned/Condemned Structure,"7,017",469,0,"2,087",15,"2,513",5,1,143,"1,326",268,90,100
Air/Bus/Train Terminal,"37,445",157,0,487,357,"6,793",190,22,"5,343","19,673","1,939","1,959",525
Amusement Park,"5,052",9,0,242,95,644,39,4,579,"3,105",245,49,41
Arena/Stadium/Fairgrounds/Coliseum,"6,420",17,0,468,246,"1,048",33,1,388,"3,821",273,75,50
ATM Separate From Bank,"9,960",6,0,229,574,707,33,7,"5,869","1,996",59,353,127
Auto Dealership New/Used,"37,238",65,1,"3,032","1,116","4,944",393,10,"5,750","10,251","11,143",116,417
Bank/Savings and Loan,"123,110",65,2,"1,098","32,476","4,263","1,127",90,"61,416","19,058",345,"2,469",701
Bar/Nightclub,"43,638",111,7,"3,509",874,"8,098",171,24,"3,699","23,717","1,889","1,282",257
Camp/Campground,"6,611",66,1,676,35,"1,631",16,4,169,"3,404",410,95,104
Church/Synagogue/Temple/Mosque,"33,088",265,0,"6,567",442,"12,236",82,9,"1,022","10,621","1,386",221,237
Commercial/Office Building,"250,554","1,111",5,"42,508","7,182","52,312","3,570",204,"22,462","100,672","16,295","2,562","1,671"
Community Center,"11,690",76,0,"1,133",92,"2,880",28,10,508,"6,428",362,123,50
Construction Site,"65,266",232,3,"12,979",103,"10,931",114,13,626,"36,985","2,606",269,405
Convenience Store,"236,151",266,6,"12,397","7,089","16,664","2,680",63,"23,787","153,677","5,560","11,748","2,214"
Cyberspace,"121,198",0,38,0,"3,102",102,421,"7,012","110,432",0,0,0,91
Daycare Facility,"3,863",10,0,618,52,"1,030",32,1,207,"1,700",177,18,18
Department/Discount Store,"543,450",352,7,"12,283","6,083","13,058","4,944",65,"44,377","444,496","3,176","7,603","7,006"
Dock/Wharf/Freight/Modal Terminal,"4,339",21,0,407,20,686,114,1,139,"2,480",235,203,33
Drug Store/Doctor's Office/Hospital,"102,123",185,15,"5,401","2,572","11,576",921,67,"8,265","67,913","2,320","1,702","1,186"
Farm Facility,"8,587",93,0,"1,748",56,"1,635",33,1,233,"3,676",982,19,111
Field/Woods,"33,282","1,582",3,776,68,"9,018",15,3,684,"16,098","3,256",804,975
Gambling Facility/Casino/Race Track ,"19,312",19,3,518,"1,961","1,850",128,9,"1,942","10,781","1,208",419,474
Government/Public Building,"57,088",321,68,"3,274","4,004","14,938",348,235,"10,942","20,185","1,678",388,707
Grocery/Supermarket,"283,545",211,6,"5,459","4,921","8,998","1,862",70,"23,850","227,875","2,575","5,642","2,076"
Highway/Road/Alley/Street/Sidewalk,"1,061,307","4,404",203,"7,259","17,478","283,031",831,395,"34,609","342,802","255,538","57,221","57,536"
Hotel/Motel/Etc.,"114,133",322,6,"6,808","1,024","21,973",494,206,"9,463","56,391","12,303","2,892","2,251"
Industrial Site,"18,444",92,1,"3,167",204,"3,865",224,9,748,"8,598","1,273",59,204
Jail/Prison/Penitentiary/Corrections Facility,"9,002",154,87,62,360,"6,031",20,38,890,"1,072",88,85,115
Lake/Waterway/Beach,"5,886",70,0,139,23,"1,234",3,1,180,"3,794",257,77,108
Liquor Store,"32,286",20,0,"2,452",664,"2,220",134,7,"1,747","23,282",372,"1,234",154
Military Installation,565,3,0,45,6,95,5,3,80,294,29,2,3
Park/Playground,"66,918","1,156",3,"1,769",231,"27,628",34,30,"2,020","26,998","2,239","3,804","1,006"
Parking/Drop Lot/Garage,"982,612","2,232",26,"21,750","2,250","247,401",595,140,"17,124","445,041","213,220","16,944","15,889"
Rental Storage Facility,"76,759",89,1,"37,982",162,"11,420",442,26,"2,812","18,373","4,783",110,559
Residence/Home,"2,872,311","13,862",237,"383,294","23,437","679,326","4,454","15,200","321,014","1,090,729","289,448","30,648","20,662"
Rest Area,"2,191",22,0,75,15,643,3,4,115,"1,031",178,75,30
Restaurant,"155,082",409,6,"23,358","6,166","27,776","2,542",114,"21,794","62,840","4,324","4,703","1,050"
School/College,"9,833",85,0,822,204,"2,798",16,55,456,"4,942",269,104,82
School/College/University,"51,167",216,2,"2,557",693,"13,176",61,586,"2,702","27,367","3,199",239,369
School/Elementary/Secondary,"56,046",844,2,"4,755",536,"17,998",177,265,"1,724","26,587","1,681",948,529
Service/Gas Station,"134,136",251,9,"6,335","3,574","13,935","1,579",37,"16,518","72,569","9,450","7,259","2,620"
Shelter/Mission/Homeless,"7,593",61,2,252,28,"1,604",18,18,309,"4,883",147,205,66
Shopping Mall,"67,846",117,1,"2,560",521,"4,516",304,52,"3,992","50,637","2,166","1,622","1,358"
Specialty Store ,"286,220",378,1,"24,708","5,653","24,855","2,944",72,"31,620","180,525","6,630","5,840","2,994"
Tribal Lands,"2,536",53,0,291,287,588,5,1,70,661,509,32,39
Other/Unknown,"505,052","1,752",55,"33,762","16,792","73,138","2,969","1,846","109,001","224,017","25,900","6,780","9,040"
